420220010021|δὲ|420220010011|conj|Cat="conj"|Id="3"|morphId="420220010021"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="now"
420220010011|ἤγγιζεν|None|CL|Cat="verb"|Id="7"|morphId="420220010011"|Unicode="ἤγγιζεν"|Lemma="ἐγγίζω"|Lang="G"|StrongNumber="G14480"|Morph="V,IIA3,,S,"|Mood="Indicative"|Tense="Imperfect"|Voice="Active"|Person="Third"|Number="Singular"|English="was approaching"
420220020101|ἀνέλωσιν|420220020021|O|Cat="verb"|Id="30"|morphId="420220020101"|Unicode="ἀνέλωσιν"|Lemma="ἀναιρέω"|Lang="G"|StrongNumber="G03370"|Morph="V,SAA3,,P,"|Mood="Subjunctive"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Plural"|English="put ~ to death"
420220020111|αὐτόν;|420220020101|O|Cat="pron"|Id="33"|morphId="420220020111"|Unicode="αὐτόν;"|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3AMS,"|Type="Personal"|Person="Third"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="him"
420220020131|γὰρ|420220020121|conj|Cat="conj"|Id="35"|morphId="420220020131"|Unicode="γὰρ"|Lemma="γάρ"|Lang="G"|StrongNumber="G10630"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="for"
420220020121|ἐφοβοῦντο|420220020021|CL|Cat="verb"|Id="39"|morphId="420220020121"|Unicode="ἐφοβοῦντο"|Lemma="φοβέω"|Lang="G"|StrongNumber="G53990"|Morph="V,IIM3,,P,"|Mood="Indicative"|Tense="Imperfect"|Voice="Middle"|Person="Third"|Number="Plural"|English="they were afraid of"
420220020141|τὸν|420220020151|det|Cat="det"|Id="42"|morphId="420220020141"|Unicode="τὸν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AMS,"|Type="Article"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="the"
420220020151|λαόν.|420220020121|O|Cat="noun"|Id="44"|morphId="420220020151"|Unicode="λαόν."|Lemma="λαός"|Lang="G"|StrongNumber="G29920"|Morph="N,,,,,AMS,"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="people"
420220030021|δὲ|420220030011|conj|Cat="conj"|Id="3"|morphId="420220030021"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="then"
420220030011|εἰσῆλθεν|None|CL|Cat="verb"|Id="7"|morphId="420220030011"|Unicode="εἰσῆλθεν"|Lemma="εἰσέρχομαι"|Lang="G"|StrongNumber="G15250"|Morph="V,IAA3,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Singular"|English="entered"
420220030031|Σατανᾶς|420220030011|S|Cat="noun"|Id="10"|morphId="420220030031"|Unicode="Σατανᾶς"|Lemma="Σατανᾶς"|Lang="G"|StrongNumber="G45660"|Morph="N,,,,,NMS,"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="Satan"
420220030041|εἰς|420220030051|prep|Cat="prep"|Id="13"|morphId="420220030041"|Unicode="εἰς"|Lemma="εἰς"|Lang="G"|StrongNumber="G15190"|Morph="P,,,,,A,,,"|Case="Accusative"|English="into"
420220030051|Ἰούδαν,|420220030011|ADV|Cat="noun"|Id="17"|morphId="420220030051"|Unicode="Ἰούδαν,"|Lemma="Ἰούδας"|Lang="G"|StrongNumber="G24550"|Morph="N,,,,,AMS,"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="Judas"
420220030061|τὸν|420220030081|det|Cat="pron"|Id="20"|morphId="420220030061"|Unicode="τὸν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="RD,,,,AMS,"|Type="Demonstrative"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="the one"
420220030071|καλούμενον|420220030081|VC|Cat="verb"|Id="24"|morphId="420220030071"|Unicode="καλούμενον"|Lemma="καλέω"|Lang="G"|StrongNumber="G25640"|Morph="V,PPP,AMS,"|Mood="Participle"|Tense="Present"|Voice="Passive"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="called"
420220030081|Ἰσκαριώτην,|420220030051|np|Cat="noun"|Id="27"|morphId="420220030081"|Unicode="Ἰσκαριώτην,"|Lemma="Ἰσκαριώτης"|Lang="G"|StrongNumber="G24690"|Morph="N,,,,,AMS,"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="Iscariot"
420220030091|ὄντα|420220030121|VC|Cat="verb"|Id="32"|morphId="420220030091"|Unicode="ὄντα"|Lemma="εἰμί"|Lang="G"|StrongNumber="G15100"|Morph="V,PPA,AMS,"|Mood="Participle"|Tense="Present"|Voice="Active"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="who was"
420220030101|ἐκ|420220030121|prep|Cat="prep"|Id="35"|morphId="420220030101"|Unicode="ἐκ"|Lemma="ἐκ"|Lang="G"|StrongNumber="G15370"|Morph="P,,,,,G,,,"|Case="Genitive"|English="of"
420220030111|τοῦ|420220030121|det|Cat="det"|Id="37"|morphId="420220030111"|Unicode="τοῦ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,GMS,"|Type="Article"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="the"
420220030121|ἀριθμοῦ|420220030051|adjp|Cat="noun"|Id="40"|morphId="420220030121"|Unicode="ἀριθμοῦ"|Lemma="ἀριθμός"|Lang="G"|StrongNumber="G07060"|Morph="N,,,,,GMS,"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="number"
420220030131|τῶν|420220030141|det|Cat="det"|Id="42"|morphId="420220030131"|Unicode="τῶν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,GMP,"|Type="Article"|Case="Genitive"|Gender="Masculine"|Number="Plural"|English="the"
420220030141|δώδεκα.|420220030121|np|Cat="noun"|Id="45"|morphId="420220030141"|Unicode="δώδεκα."|Lemma="δώδεκα"|Lang="G"|StrongNumber="G14270"|Morph="NS,,,,GMP,"|Type="Substantive_Adj"|Case="Genitive"|Gender="Masculine"|Number="Plural"|English="twelve"
420220040011|καὶ|420220040031|conj|Cat="conj"|Id="3"|morphId="420220040011"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
420220040021|ἀπελθὼν,|420220040031|ADV|Cat="verb"|Id="9"|morphId="420220040021"|Unicode="ἀπελθὼν,"|Lemma="ἀπέρχομαι"|Lang="G"|StrongNumber="G05650"|Morph="V,PAA,NMS,"|Mood="Participle"|Tense="Aorist"|Voice="Active"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="went away"
420220040031|συνελάλησεν|None|CL|Cat="verb"|Id="12"|morphId="420220040031"|Unicode="συνελάλησεν"|Lemma="συνλαλέω"|Lang="G"|StrongNumber="G48140"|Morph="V,IAA3,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Singular"|English="he ~ discussed with"
420220040041|τοῖς|420220040051|det|Cat="det"|Id="15"|morphId="420220040041"|Unicode="τοῖς"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,DMP,"|Type="Article"|Case="Dative"|Gender="Masculine"|Number="Plural"|English="the"
420220040051|ἀρχιερεῦσιν|420220040031|IO|Cat="noun"|Id="18"|morphId="420220040051"|Unicode="ἀρχιερεῦσιν"|Lemma="ἀρχιερεύς"|Lang="G"|StrongNumber="G07490"|Morph="N,,,,,DMP,"|Case="Dative"|Gender="Masculine"|Number="Plural"|English="chief priests"
420220040061|καὶ|420220040051|conj|Cat="conj"|Id="19"|morphId="420220040061"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
420220040071|στρατηγοῖς,|420220040051|np|Cat="noun"|Id="21"|morphId="420220040071"|Unicode="στρατηγοῖς,"|Lemma="στρατηγός"|Lang="G"|StrongNumber="G47550"|Morph="N,,,,,DMP,"|Case="Dative"|Gender="Masculine"|Number="Plural"|English="officers"
420220040081|τὸ|420220040111|det|Cat="pron"|Id="25"|morphId="420220040081"|Unicode="τὸ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="RD,,,,ANS,"|Type="Demonstrative"|Case="Accusative"|Gender="Neuter"|Number="Singular"
420220040091|πῶς|420220040111|ADV|Cat="adv"|Id="29"|morphId="420220040091"|Unicode="πῶς"|Lemma="πῶς"|Lang="G"|StrongNumber="G44590"|Morph="D,,,,,,,,,"|English="how"
420220040101|αὐτοῖς|420220040111|IO|Cat="pron"|Id="32"|morphId="420220040101"|Unicode="αὐτοῖς"|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3DMP,"|Type="Personal"|Person="Third"|Case="Dative"|Gender="Masculine"|Number="Plural"|English="he might hand over to them"
420220040111|παραδῷ|420220040031|O|Cat="verb"|Id="35"|morphId="420220040111"|Unicode="παραδῷ"|Lemma="παραδίδωμι"|Lang="G"|StrongNumber="G38600"|Morph="V,SAA3,,S,"|Mood="Subjunctive"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Singular"|English="he might betray"
420220040121|αὐτόν.|420220040111|O|Cat="pron"|Id="38"|morphId="420220040121"|Unicode="αὐτόν."|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3AMS,"|Type="Personal"|Person="Third"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="him"
420220050011|καὶ|420220050021|conj|Cat="conj"|Id="3"|morphId="420220050011"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
420220050021|ἐχάρησαν|None|CL|Cat="verb"|Id="8"|morphId="420220050021"|Unicode="ἐχάρησαν"|Lemma="χαίρω"|Lang="G"|StrongNumber="G54630"|Morph="V,IAP3,,P,"|Mood="Indicative"|Tense="Aorist"|Voice="Passive"|Person="Third"|Number="Plural"|English="they were glad"
420220050031|καὶ|420220050021|conj|Cat="conj"|Id="9"|morphId="420220050031"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
420220050041|συνέθεντο|420220050021|CL|Cat="verb"|Id="13"|morphId="420220050041"|Unicode="συνέθεντο"|Lemma="συντίθημι"|Lang="G"|StrongNumber="G49340"|Morph="V,IAM3,,P,"|Mood="Indicative"|Tense="Aorist"|Voice="Middle"|Person="Third"|Number="Plural"|English="agreed"
420220050051|αὐτῷ|420220050071|IO|Cat="pron"|Id="18"|morphId="420220050051"|Unicode="αὐτῷ"|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3DMS,"|Type="Personal"|Person="Third"|Case="Dative"|Gender="Masculine"|Number="Singular"|English="him"
420220050061|ἀργύριον|420220050071|O|Cat="noun"|Id="21"|morphId="420220050061"|Unicode="ἀργύριον"|Lemma="ἀργύριον"|Lang="G"|StrongNumber="G06940"|Morph="N,,,,,ANS,"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="money"
420220050071|δοῦναι.|420220050041|O|Cat="verb"|Id="24"|morphId="420220050071"|Unicode="δοῦναι."|Lemma="δίδωμι"|Lang="G"|StrongNumber="G13250"|Morph="V,NAA,,,,,"|Mood="Infinitive"|Tense="Aorist"|Voice="Active"|English="to give"
420220060011|καὶ|420220060021|conj|Cat="conj"|Id="3"|morphId="420220060011"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="so"
420220060021|ἐξωμολόγησεν,|None|CL|Cat="verb"|Id="8"|morphId="420220060021"|Unicode="ἐξωμολόγησεν,"|Lemma="ἐξομολογέω"|Lang="G"|StrongNumber="G18430"|Morph="V,IAA3,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Singular"|English="he consented"
420220060031|καὶ|420220060021|conj|Cat="conj"|Id="9"|morphId="420220060031"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
420220060041|ἐζήτει|420220060021|CL|Cat="verb"|Id="13"|morphId="420220060041"|Unicode="ἐζήτει"|Lemma="ζητέω"|Lang="G"|StrongNumber="G22120"|Morph="V,IIA3,,S,"|Mood="Indicative"|Tense="Imperfect"|Voice="Active"|Person="Third"|Number="Singular"|English="sought"
420220060051|εὐκαιρίαν|420220060041|O|Cat="noun"|Id="16"|morphId="420220060051"|Unicode="εὐκαιρίαν"|Lemma="εὐκαιρία"|Lang="G"|StrongNumber="G21200"|Morph="N,,,,,AFS,"|Case="Accusative"|Gender="Feminine"|Number="Singular"|English="an opportunity"
420220060061|τοῦ|420220060071|det|Cat="pron"|Id="20"|morphId="420220060061"|Unicode="τοῦ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="RD,,,,GNS,"|Type="Demonstrative"|Case="Genitive"|Gender="Neuter"|Number="Singular"
420220060071|παραδοῦναι|420220060041|ADV|Cat="verb"|Id="24"|morphId="420220060071"|Unicode="παραδοῦναι"|Lemma="παραδίδωμι"|Lang="G"|StrongNumber="G38600"|Morph="V,NAA,,,,,"|Mood="Infinitive"|Tense="Aorist"|Voice="Active"|English="to betray"
420220060081|αὐτὸν|420220060071|O|Cat="pron"|Id="27"|morphId="420220060081"|Unicode="αὐτὸν"|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3AMS,"|Type="Personal"|Person="Third"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="him"
420220060091|ἄτερ|420220060101|prep|Cat="prep"|Id="30"|morphId="420220060091"|Unicode="ἄτερ"|Lemma="ἄτερ"|Lang="G"|StrongNumber="G08170"|Morph="PI,,,,G,,,"|Type="Improper"|Case="Genitive"|English="no"
420220060101|ὄχλου|420220060071|ADV|Cat="noun"|Id="32"|morphId="420220060101"|Unicode="ὄχλου"|Lemma="ὄχλος"|Lang="G"|StrongNumber="G37930"|Morph="N,,,,,GMS,"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="crowd"
420220060111|αὐτοῖς.|420220060071|IO|Cat="pron"|Id="35"|morphId="420220060111"|Unicode="αὐτοῖς."|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3DMP,"|Type="Personal"|Person="Third"|Case="Dative"|Gender="Masculine"|Number="Plural"|English="with them"
420220070021|δὲ|420220070011|conj|Cat="conj"|Id="3"|morphId="420220070021"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="then"
420220070011|ἦλθεν|None|CL|Cat="verb"|Id="7"|morphId="420220070011"|Unicode="ἦλθεν"|Lemma="ἔρχομαι"|Lang="G"|StrongNumber="G20640"|Morph="V,IAA3,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Singular"|English="came"
420220070031|ἡ|420220070041|det|Cat="det"|Id="10"|morphId="420220070031"|Unicode="ἡ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,NFS,"|Type="Article"|Case="Nominative"|Gender="Feminine"|Number="Singular"|English="the"
420220070041|ἡμέρα|420220070011|S|Cat="noun"|Id="14"|morphId="420220070041"|Unicode="ἡμέρα"|Lemma="ἡμέρα"|Lang="G"|StrongNumber="G22500"|Morph="N,,,,,NFS,"|Case="Nominative"|Gender="Feminine"|Number="Singular"|English="day"
420220070051|τῶν|420220070061|det|Cat="det"|Id="16"|morphId="420220070051"|Unicode="τῶν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,GNP,"|Type="Article"|Case="Genitive"|Gender="Neuter"|Number="Plural"
420220070061|Ἀζύμων,|420220070041|np|Cat="noun"|Id="18"|morphId="420220070061"|Unicode="Ἀζύμων,"|Lemma="ἄζυμος"|Lang="G"|StrongNumber="G01060"|Morph="NS,,,,GNP,"|Type="Substantive_Adj"|Case="Genitive"|Gender="Neuter"|Number="Plural"|English="of unleavened bread"
420220070071|ᾗ|420220070081|ADV|Cat="pron"|Id="22"|morphId="420220070071"|Unicode="ᾗ"|Lemma="ὅς"|Lang="G"|StrongNumber="G37390"|Morph="RR,,,,DFS,"|Type="Relative"|Case="Dative"|Gender="Feminine"|Number="Singular"|English="which"
420220070081|ἔδει|420220070041|CL|Cat="verb"|Id="25"|morphId="420220070081"|Unicode="ἔδει"|Lemma="δέω"|Lang="G"|StrongNumber="G11630"|Morph="V,IIA3,,S,"|Mood="Indicative"|Tense="Imperfect"|Voice="Active"|Person="Third"|Number="Singular"|English="had to"
420220070091|θύεσθαι|420220070081|S|Cat="verb"|Id="31"|morphId="420220070091"|Unicode="θύεσθαι"|Lemma="θύω"|Lang="G"|StrongNumber="G23800"|Morph="V,NPP,,,,,"|Mood="Infinitive"|Tense="Present"|Voice="Passive"|English="be sacrificed"
420220070101|τὸ|420220070111|det|Cat="det"|Id="34"|morphId="420220070101"|Unicode="τὸ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,ANS,"|Type="Article"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="the"
420220070111|Πάσχα.|420220070091|S|Cat="noun"|Id="36"|morphId="420220070111"|Unicode="Πάσχα."|Lemma="Πάσχα"|Lang="G"|StrongNumber="G39570"|Morph="N,,,,,ANSI"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="passover lamb"
420220080011|καὶ|420220080021|conj|Cat="conj"|Id="3"|morphId="420220080011"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
420220080021|ἀπέστειλεν|None|CL|Cat="verb"|Id="7"|morphId="420220080021"|Unicode="ἀπέστειλεν"|Lemma="ἀποστέλλω"|Lang="G"|StrongNumber="G06490"|Morph="V,IAA3,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Singular"|English="jesus sent"
420220080031|Πέτρον|420220080021|O|Cat="noun"|Id="11"|morphId="420220080031"|Unicode="Πέτρον"|Lemma="πέτρος"|Lang="G"|StrongNumber="G40740"|Morph="N,,,,,AMS,"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="Peter"
420220080041|καὶ|420220080031|conj|Cat="conj"|Id="12"|morphId="420220080041"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
420220080051|Ἰωάννην|420220080031|np|Cat="noun"|Id="14"|morphId="420220080051"|Unicode="Ἰωάννην"|Lemma="Ἰωάννης"|Lang="G"|StrongNumber="G24910"|Morph="N,,,,,AMS,"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="John"
420220080061|εἰπών,|420220080021|ADV|Cat="verb"|Id="20"|morphId="420220080061"|Unicode="εἰπών,"|Lemma="λέγω"|Lang="G"|StrongNumber="G30040"|Morph="V,PAA,NMS,"|Mood="Participle"|Tense="Aorist"|Voice="Active"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="saying"
420220080071|πορευθέντες,|420220080081|ADV|Cat="verb"|Id="27"|morphId="420220080071"|Unicode="πορευθέντες,"|Lemma="πορεύω"|Lang="G"|StrongNumber="G41980"|Morph="V,PAP,NMP,"|Mood="Participle"|Tense="Aorist"|Voice="Passive"|Case="Nominative"|Gender="Masculine"|Number="Plural"|English="go"
420220080081|ἑτοιμάσατε|420220080061|CL|Cat="verb"|Id="30"|morphId="420220080081"|Unicode="ἑτοιμάσατε"|Lemma="ἑτοιμάζω"|Lang="G"|StrongNumber="G20900"|Morph="V,MAA2,,P,"|Mood="Imperative"|Tense="Aorist"|Voice="Active"|Person="Second"|Number="Plural"|English="prepare"
420220080091|ἡμῖν|420220080081|IO|Cat="pron"|Id="33"|morphId="420220080091"|Unicode="ἡμῖν"|Lemma="ἐγώ"|Lang="G"|StrongNumber="G14730"|Morph="RP,,,1D,P,"|Type="Personal"|Person="First"|Case="Dative"|Number="Plural"|English="for us"
420220080101|τὸ|420220080111|det|Cat="det"|Id="36"|morphId="420220080101"|Unicode="τὸ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,ANS,"|Type="Article"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="the"
420220080111|Πάσχα,|420220080081|O|Cat="noun"|Id="38"|morphId="420220080111"|Unicode="Πάσχα,"|Lemma="Πάσχα"|Lang="G"|StrongNumber="G39570"|Morph="N,,,,,ANSI"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="passover"
420220080121|ἵνα|420220080131|conj|Cat="conj"|Id="40"|morphId="420220080121"|Unicode="ἵνα"|Lemma="ἵνα"|Lang="G"|StrongNumber="G24430"|Morph="CS,,,,,,,,"|Type="Subordinating"|English="that"
420220080131|φάγωμεν.|420220080081|CL|Cat="verb"|Id="44"|morphId="420220080131"|Unicode="φάγωμεν."|Lemma="ἐσθίω"|Lang="G"|StrongNumber="G20680"|Morph="V,SAA1,,P,"|Mood="Subjunctive"|Tense="Aorist"|Voice="Active"|Person="First"|Number="Plural"|English="we may eat"
420220090021|δὲ|420220090031|conj|Cat="conj"|Id="3"|morphId="420220090021"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="so"
420220090011|οἱ|420220090031|S|Cat="pron"|Id="8"|morphId="420220090011"|Unicode="οἱ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="RP,,,,NMP,"|Type="Personal"|Case="Nominative"|Gender="Masculine"|Number="Plural"|English="they"
420220090031|εἶπαν|None|CL|Cat="verb"|Id="11"|morphId="420220090031"|Unicode="εἶπαν"|Lemma="λέγω"|Lang="G"|StrongNumber="G30040"|Morph="V,IAA3,,P,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Plural"|English="they said"
420220090041|αὐτῷ,|420220090031|IO|Cat="pron"|Id="14"|morphId="420220090041"|Unicode="αὐτῷ,"|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3DMS,"|Type="Personal"|Person="Third"|Case="Dative"|Gender="Masculine"|Number="Singular"|English="to him"
420220090061|θέλεις|420220090031|CL|Cat="verb"|Id="19"|morphId="420220090061"|Unicode="θέλεις"|Lemma="θέλω"|Lang="G"|StrongNumber="G23090"|Morph="V,IPA2,,S,"|Mood="Indicative"|Tense="Present"|Voice="Active"|Person="Second"|Number="Singular"|English="do you want"
