400010030071|τὸν|400010030081|det|Cat="det"|Id="19"|morphId="400010030071"|Unicode="τὸν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AMS,"|Type="Article"|Case="Accusative"|Gender="Masculine"|Number="Singular"
400010030081|Ζάρα|400010030051|np|Cat="noun"|Id="21"|morphId="400010030081"|Unicode="Ζάρα"|Lemma="Ζάρα"|Lang="G"|StrongNumber="G21960"|Morph="N,,,,,AMSI"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="Zerah"
400010030091|ἐκ|400010030111|prep|Cat="prep"|Id="24"|morphId="400010030091"|Unicode="ἐκ"|Lemma="ἐκ"|Lang="G"|StrongNumber="G15370"|Morph="P,,,,,G,,,"|Case="Genitive"|English="by"
400010030101|τῆς|400010030111|det|Cat="det"|Id="26"|morphId="400010030101"|Unicode="τῆς"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,GFS,"|Type="Article"|Case="Genitive"|Gender="Feminine"|Number="Singular"
400010030111|Θαμάρ,|400010030031|ADV|Cat="noun"|Id="28"|morphId="400010030111"|Unicode="Θαμάρ,"|Lemma="Θαμάρ"|Lang="G"|StrongNumber="G22830"|Morph="N,,,,,GFSI"|Case="Genitive"|Gender="Feminine"|Number="Singular"|English="Tamar"
400010030131|δὲ|400010030031|conj|Cat="conj"|Id="29"|morphId="400010030131"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
400010030121|Φαρὲς|400010030141|S|Cat="noun"|Id="33"|morphId="400010030121"|Unicode="Φαρὲς"|Lemma="Φαρές"|Lang="G"|StrongNumber="G53290"|Morph="N,,,,,NMSI"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="Perez"
400010030141|ἐγέννησεν|400010030031|CL|Cat="verb"|Id="36"|morphId="400010030141"|Unicode="ἐγέννησεν"|Lemma="γεννάω"|Lang="G"|StrongNumber="G10800"|Morph="V,IAA3,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Singular"|English="father"
400010030151|τὸν|400010030161|det|Cat="det"|Id="39"|morphId="400010030151"|Unicode="τὸν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AMS,"|Type="Article"|Case="Accusative"|Gender="Masculine"|Number="Singular"
400010030161|Ἑσρώμ,|400010030141|O|Cat="noun"|Id="41"|morphId="400010030161"|Unicode="Ἑσρώμ,"|Lemma="Ἑσρώμ"|Lang="G"|StrongNumber="G20740"|Morph="N,,,,,AMSI"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="Hezron"
