460160170131	460160170131	ὑμέτερον	ὑμῶν
470050100251	470050100251	φαῦλον	κακὸν
480010040041	480010040041	ὑπὲρ	περὶ
480020140231	480020140231	οὐχὶ	οὐκ
480030210191	480030210171	ἐκ	ἐν
480050020011	480050020011	Ἴδε	ἴδε
490020050081	490020050081	τῷ	ἐν
490050140011	490050140011	πᾶν	διὸ
490050140021	490050140021	γὰρ	λέγει
490050140041	490050140051	φανερούμενον	καθεύδων
490050140051	490050140061	φῶς	καὶ
490050140061	490050140071	ἐστιν	ἀνάστα
490050140071	490050140081	διὸ	ἐκ
490050140111	490050140101	καθεύδων	νεκρῶν
490050140131	490050140121	ἀνάστα	ἐπιφαύσει
490050140141	490050140131	ἐκ	σοι
490050140161	490050140151	νεκρῶν	Χριστός
520030020081	520030020081	συνεργὸν	διάκονον
520050100031	520050100031	ὑπὲρ	περὶ
530020060121	530020060121	ἑαυτοῦ	αὐτοῦ
560020030081	560020030081	μὴ	μηδὲ
580010080231	580010080231	σου	αὐτοῦ
590010200071	590010200071	κατεργάζεται	ἐργάζεται
590040130011	590040130011	Ἄγε	ἄγε
590050010011	590050010011	Ἄγε	ἄγε
600030180071	600030180071	ἔπαθεν	ἀπέθανεν
600050010021	600050010021	τοὺς	οὖν
610010010011	610010010011	Συμεὼν	Σίμων
610010030201	610010030201	ἰδίᾳ	διὰ
610020060111	610020060111	ἀσεβεῖν	ἀσεβέσιν
610020180111	610020180111	ὄντως	ὀλίγως
620050150081	620050150081	ἐὰν	ἂν
650010160081	650010160081	ἑαυτῶν	αὐτῶν
660090160081	660090160081	δισμυριάδες	δύο
660110020091	660110020091	ἔξωθεν	ἔξω
660110110141	660110110141	ἐν	εἰς
660110190201	660110190181	ναῷ	Κυρίου
660110190211	660110190191	αὐτοῦ	ἐν
660110190221	660110190201	καὶ	τῷ
660110190231	660110190211	ἐγένοντο	ναῷ
660110190241	660110190221	ἀστραπαὶ	αὐτοῦ
660110190261	660110190241	φωναὶ	ἐγένοντο
660150030361	660150030361	ἐθνῶν	αἰώνων
660160030191	660160030191	ζωῆς	ζῶσα
